case_id,parameter,level,value,status,elapsed_s,variant_dir
baseline,,baseline,,ok,0.0017051919712685049,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0000_baseline
front_spring_rate_n_per_m_low,front_spring_rate_n_per_m,low,19701.768937499997,ok,0.0012512649991549551,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0001_front_spring_rate_n_per_m_low
front_spring_rate_n_per_m_high,front_spring_rate_n_per_m,high,32836.2815625,ok,0.0012797880335710943,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0002_front_spring_rate_n_per_m_high
rear_spring_rate_n_per_m_low,rear_spring_rate_n_per_m,low,32836.2815625,ok,0.001318689959589392,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0003_rear_spring_rate_n_per_m_low
rear_spring_rate_n_per_m_high,rear_spring_rate_n_per_m,high,54727.135937499996,ok,0.0012065220507793128,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0004_rear_spring_rate_n_per_m_high
front_stabar_rate_n_m_per_rad_low,front_stabar_rate_n_m_per_rad,low,129.471077,ok,0.0012271699961274862,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0005_front_stabar_rate_n_m_per_rad_low
front_stabar_rate_n_m_per_rad_high,front_stabar_rate_n_m_per_rad,high,388.413231,ok,0.0012120020110160112,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0006_front_stabar_rate_n_m_per_rad_high
rear_stabar_rate_n_m_per_rad_low,rear_stabar_rate_n_m_per_rad,low,267.681452,ok,0.0011935580405406654,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0007_rear_stabar_rate_n_m_per_rad_low
rear_stabar_rate_n_m_per_rad_high,rear_stabar_rate_n_m_per_rad,high,803.0443559999999,ok,0.0012095069978386164,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0008_rear_stabar_rate_n_m_per_rad_high
front_toe_deg_low,front_toe_deg,low,-1.0,ok,0.001247257983777672,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0009_front_toe_deg_low
front_toe_deg_high,front_toe_deg,high,1.0,ok,0.0013067579711787403,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0010_front_toe_deg_high
rear_toe_deg_low,rear_toe_deg,low,-1.0,ok,0.0012269790167920291,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0011_rear_toe_deg_low
rear_toe_deg_high,rear_toe_deg,high,1.0,ok,0.0011950600310228765,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0012_rear_toe_deg_high
front_camber_deg_low,front_camber_deg,low,-2.5,ok,0.0012036770349368453,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0013_front_camber_deg_low
front_camber_deg_high,front_camber_deg,high,0.5,ok,0.0011941580451093614,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0014_front_camber_deg_high
rear_camber_deg_low,rear_camber_deg,low,-2.5,ok,0.0011947100283578038,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0015_rear_camber_deg_low
rear_camber_deg_high,rear_camber_deg,high,0.5,ok,0.0011916439980268478,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0016_rear_camber_deg_high
sprung_mass_kg_low,sprung_mass_kg,low,144.576,ok,0.0012229320127516985,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0017_sprung_mass_kg_low
sprung_mass_kg_high,sprung_mass_kg,high,176.704,ok,0.0012107390211895108,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0018_sprung_mass_kg_high
sprung_cg_x_m_low,sprung_cg_x_m,low,-1.0,ok,0.0012859489652328193,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0019_sprung_cg_x_m_low
sprung_cg_x_m_high,sprung_cg_x_m,high,-0.8400000000000001,ok,0.0014906319556757808,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0020_sprung_cg_x_m_high
sprung_cg_z_m_low,sprung_cg_z_m,low,0.21,ok,0.0012341330293565989,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0021_sprung_cg_z_m_low
sprung_cg_z_m_high,sprung_cg_z_m,high,0.3,ok,0.0012063320027664304,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0022_sprung_cg_z_m_high
torsional_stiffness_n_m_per_rad_low,torsional_stiffness_n_m_per_rad,low,100000.0,ok,0.0012117410078644753,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0023_torsional_stiffness_n_m_per_rad_low
torsional_stiffness_n_m_per_rad_high,torsional_stiffness_n_m_per_rad,high,600000.0,ok,0.001190912036690861,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0024_torsional_stiffness_n_m_per_rad_high
aero_downforce_scale_low,aero_downforce_scale,low,0.65,ok,0.0011797209735959768,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0025_aero_downforce_scale_low
aero_downforce_scale_high,aero_downforce_scale,high,1.35,ok,0.0012005000025965273,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0026_aero_downforce_scale_high
aero_drag_scale_low,aero_drag_scale,low,0.75,ok,0.0012211889843456447,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0027_aero_drag_scale_low
aero_drag_scale_high,aero_drag_scale,high,1.25,ok,0.0012161090271547437,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0028_aero_drag_scale_high
lateral_tire_mu_scale_low,lateral_tire_mu_scale,low,0.9,ok,0.001223522995132953,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0029_lateral_tire_mu_scale_low
lateral_tire_mu_scale_high,lateral_tire_mu_scale,high,1.1,ok,0.001221950980834663,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0030_lateral_tire_mu_scale_high
front_rack_travel_per_rev_m_low,front_rack_travel_per_rev_m,low,0.07556500000000001,ok,0.0012056099949404597,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0031_front_rack_travel_per_rev_m_low
front_rack_travel_per_rev_m_high,front_rack_travel_per_rev_m,high,0.102235,ok,0.001206341024953872,studies/DS-002-standardsim-steady-state-sensitivity/work/population/variant_0032_front_rack_travel_per_rev_m_high
